cell_id,decimalLongitude,decimalLatitude,climate_class,detected,obs_type,log_total_records,n_events,relevance_ratio,recorder_relevance_ratio,recorder_dominance,n_years_with_records,recording_span,recent_activity,mean_coord_uncertainty,spatial_corroboration,national_presence,confirmation_prior
1885881,16.7083333333333,53.625,1,0,pseudo_absence,5.62040086571715,43,1,1,0.436363636363636,17,72,1,2995.77075098814,0,1,0.960219979286194
1885887,17.2083333333333,53.625,1,0,pseudo_absence,4.15888308335967,25,1,1,0.492063492063492,10,67,1,6214.1875,0,1,0.960219979286194
1885898,18.125,53.625,1,0,pseudo_absence,5.76205138278018,30,1,1,0.536277602523659,10,67,1,4432.59302325581,1,1,0.960219979286194
1885907,18.875,53.625,1,0,pseudo_absence,6.34212141872115,84,0.971781305114638,1,0.781305114638448,19,69,1,4232.5247148289,0,1,0.960219979286194
1885914,19.4583333333333,53.625,1,0,pseudo_absence,6.15909538849193,89,0.997881355932203,1,0.228813559322034,27,73,1,3651.77981651376,1,1,0.960219979286194
1885938,21.4583333333333,53.625,0,0,pseudo_absence,5.43372200355424,94,1,1,0.12719298245614,31,73,1,3056.21383647799,0,1,0.960219979286194
1885959,23.2083333333333,53.625,1,0,pseudo_absence,3.55534806148941,24,0.852941176470588,0.4,0.235294117647059,12,61,1,981.576923076923,0,1,0.960219979286194
1885995,26.2083333333333,53.625,0,0,pseudo_absence,5.85507192220243,149,0.994252873563218,1,0.255747126436782,11,110,1,198.121387283237,0,1,0.552392661571503
1886015,27.875,53.625,1,0,pseudo_absence,6.58892647753352,268,1,1,0.207988980716253,15,99,1,6652.51818181818,1,1,0.552392661571503
1886019,28.2083333333333,53.625,1,0,pseudo_absence,4.49980967033027,44,1,1,0.707865168539326,7,10,1,10364.3684210526,1,1,0.552392661571503
1886050,30.7916666666667,53.625,1,0,pseudo_absence,1.09861228866811,2,1,1,0.5,2,1,1,13,0,1,0.552392661571503
1886079,33.2083333333333,53.625,0,0,pseudo_absence,1.38629436111989,3,1,1,1,1,0,1,447.666666666667,0,1,0.552392661571503
1886082,33.4583333333333,53.625,1,0,pseudo_absence,5.18178355029209,81,1,1,0.463276836158192,7,7,1,66.4,1,1,0.552392661571503
1890102,8.45833333333331,53.5416666666667,0,0,pseudo_absence,6.77992190747225,306,0.997724687144482,0.962962962962963,0.121729237770193,26,46,1,1368.80349344978,0,1,0.552392661571503
1890130,10.7916666666667,53.5416666666667,1,0,pseudo_absence,8.50228257868048,1233,0.993908629441624,0.979591836734694,0.104771573604061,48,64,1,219.866650111746,1,1,0.552392661571503
